"Sent Index","Mention Index/Total","Sentence","Mention","Mention Head","Label->Gov"
"1750","0/1","Late one night , waiting for the subway after a Mets game , Sean Frawley dropped <a>XXXX</a> and promptly watched its battery pop out and land , with an unhappy plunk , on the tracks .","his cell phone","phone","dobj -> dropped"
"1751","0/1","In the past decade , <a>XXXX</a> has thrilled fans , but it has also increased pressure from as far away as Hollywood to clamp down .","a surge of music and movie sharing online in Spain","surge","nsubj -> thrilled"
"1752","0/1","Spanish lawmakers are expected to vote this year on a measure that would allow the swift closing of sites suspected of facilitating <a>XXXX</a> .","file-sharing","file-sharing","dobj -> facilitating"
"1753","0/1","Late one night , waiting for the subway after a Mets game , <a>XXXX</a> dropped his cell phone and promptly watched its battery pop out and land , with an unhappy plunk , on the tracks .","Sean Frawley","Frawley","nsubj -> dropped"
"1754","0/1","<a>XXXX</a> was named after a Greek god .","Herculez Gomez , like each of his four siblings ,","Gomez","nsubjpass -> named"
"1755","0/1","<a>XXXX</a> was named after a Brazilian one -- Pele , the soccer deity whose given name is Edson Arantes do Nascimento .","Edson Buddle","Buddle","nsubjpass -> named"
"1756","0/1","<a>XXXX</a> stopped by black churches on Sunday , paying homage to a vital bloc in his suddenly desperate race for the Democratic nomination for the Senate seat he has held for 30 years .","Arlen Specter","Specter","nsubj -> stopped"
"1757","0/1","In Europe , <a>XXXX</a> are generally giddy to see the euro fall and exports rise .","businesses","businesses","nsubj -> giddy"
"1759","0/1","In Europe , <a>XXXX</a> are generally giddy to see the euro fall and exports rise .","businesses","businesses","nsubj -> see"
"1761","0/1","When Mark Cavendish , <a>XXXX</a> , won Stage 1 of the Tour of California on Sunday , he gave a muted celebration at the finish line .","the British sprinting star","star","appos -> Cavendish"
"1762","0/1","On Wednesday , Neelie Kroes , the new European commissioner for the digital agenda , plans to introduce a five-year plan for the telecommunications industry in Europe , encompassing issues like digital copyright , data protection , net neutrality and <a>XXXX</a> .","e-commerce","e-commerce","appos -> protection"
"1763","0/1","<a>XXXX</a> won re-election Sunday in legislative by-elections in Hong Kong marked by very low voter turnout .","All five pro-democracy lawmakers","lawmakers","nsubj -> won"
"1764","0/1","<a>XXXX</a> looked twice at the display on his cell phone , staring at the number .","Hesham Shashaa","Shashaa","nsubj -> looked"
"1765","0/1","`` <a>XXXX</a> 's either a person who needs help or someone who wants to kill me , '' he said .","It","It","nsubj -> person"
"1766","0/1","By letting accounting students take over <a>XXXX</a> saved at least $ 40,000 and created a unique educational opportunity .","the job of one financial auditor , Metropolitan State College","job","dobj -> take"
"1767","0/1","<a>XXXX</a> were reported in one area of Bangkok early Monday in the deadliest and most prolonged conflict in Thailand in many years .","Heavy fighting and explosions","fighting","nsubjpass -> reported"
"1768","0/1","Two off-duty police officers were killed and four women were seriously hurt in a one-car accident on the Bronx River Parkway on Sunday morning , <a>XXXX</a> said .","the police","police","nsubj -> said"
"1769","0/1","<a>XXXX</a> were killed and four women were seriously hurt in a one-car accident on the Bronx River Parkway on Sunday morning , the police said .","Two off-duty police officers","officers","nsubjpass -> killed"
"1770","0/1","<a>XXXX</a> announced an agreement on Monday to ship some of its nuclear fuel to Turkey in a deal that could offer a short-term solution to its ongoing nuclear standoff with the West , or prove to be a tactic aimed at derailing efforts to bring new sanctions against Tehran .","Iran","Iran","nsubj -> prove"
"1771","0/1","Chaotic gun battles in central Bangkok marked a new phase of the city 's spiraling violence Monday as residents hoarded food and the government warned die-hard protesters that they should leave their encampment or <a>XXXX</a> `` harmful '' consequences .","risk","risk","nsubj -> consequences"
"1772","0/1","<a>XXXX</a> announced an agreement on Monday to ship some of its nuclear fuel to Turkey in a deal that could offer a short-term solution to its ongoing nuclear standoff with the West , or prove to be a tactic aimed at derailing efforts to bring new sanctions against Tehran .","Iran","Iran","nsubj -> prove"
"1773","0/1","Chaotic gun battles in central Bangkok marked a new phase of the city 's spiraling violence Monday as residents hoarded food and the government warned die-hard protesters that they should leave <a>XXXX</a> .","their encampment or risk `` harmful '' consequences","consequences","dobj -> leave"
"1774","0/1","Once again I am compelled to sing the praises of `` Jeff Herman 's Guide to Book Publisher 's , Editors and Literary Agents 2010 '' <a>XXXX</a> , the best single volume of its kind .","-LRB- Sourcebooks -RRB-","Sourcebooks","appos -> Publisher"
"1775","0/1","There he sits , <a>XXXX</a> .","a wild-eyed hacker itching to break into your computer","hacker","dobj -> sits"
"1776","0/1","After all , he 's heard it stores <a>XXXX</a> .","your Aunt Vera 's recipe for spaghetti sauce","recipe","dobj -> stores"
"1777","0/1","A 32-year-old Delta Air Lines pilot was arrested after screeners allegedly found a loaded handgun in his carry-on luggage as <a>XXXX</a> tried to pass through security at Hartsfield-Jackson International Airport , according to Atlanta police .","he","he","nsubj -> pass"
"1778","0/1","<a>XXXX</a> was n't looking for a cause to champion .","Rosalynn Carter","Carter","nsubj -> looking"
"1779","0/1","A couple years back , C. Lin Hodges , president of Associated Credit Union , was deflecting <a>XXXX</a> .","questions about credit unions ' relevance","questions","dobj -> deflecting"
"1780","0/1","<a>XXXX</a> 'm wet to my knees and the dew is dripping inside my boot tops .","I","I","nsubj -> wet"
"1781","0/1","<a>XXXX</a> have gone floppy and soggy , and feel like pudding between my wrinkled toes .","My wool socks","socks","nsubj -> gone"
"1782","0/1","If <a>XXXX</a> were all normal , Utah would reelect Bob Bennett to the Senate this year .","we","we","nsubj -> normal"
"1783","0/1","Pennsylvania would do the same for Arlen Specter , and Florida would send Charlie Crist to Washington to join <a>XXXX</a> .","them","them","dobj -> join"
"1785","0/1","<a>XXXX</a> was on display at the White House Monday when President Obama -- a known basketball fanatic -- welcomed the UConn women 's basketball team and declared it was `` the best team in all of sports . ''","The pride of the University of Connecticut","pride","nsubj -> display"
"1786","0/1","The cables dangling from the ceiling panels said <a>XXXX</a> .","it all","it","dobj -> said"
"1787","0/1","If I am remembering clearly -- and <a>XXXX</a> is filled with so many densely layered words and images , it is hard to unpack them -- the first image in `` Film Socialism , '' the new movie by Jean-Luc Godard , is of two red-headed parrots , side by side on a tree limb .","my head","head","nsubjpass -> filled"
"1788","0/1","<a>XXXX</a> are among a handful of animals that appear in the movie , which had its press premiere Monday morning at the Cannes Film Festival , including a pair of hilariously talkative cats -LRB- whose meows are , in turn , parroted by a young woman watching them on a laptop -RRB- , as well as a llama and a donkey .","The parrots","parrots","nsubj -> handful"
"1789","0/1","Surrounding <a>XXXX</a> is a menagerie of talking , quoting , babbling human beings , speaking in French , German , Russian , English and Arabic , among other tongues .","these animals","animals","dobj -> Surrounding"
"1790","0/1","<a>XXXX</a> said it all .","The cables dangling from the ceiling panels","cables","nsubj -> said"
"1792","0/1","The European Central Bank disclosed Monday that it had bought <a>XXXX</a> in bonds in the first week since taking the unprecedented step of intervening in markets to halt a sell-off of Greek and other European debt .","16.5 billion euros","euros","dobj -> bought"
"1793","0/1","The Man Group , <a>XXXX</a> , agreed Monday to buy a rival , GLG Partners , for $ 1.6 billion to diversify its range of investment funds .","the hedge fund based here","fund","appos -> Group"
"1795","0/1","Authorities were still verifying the number of dead , but <a>XXXX</a> said at least 23 people had been killed .","the local police chief","chief","nsubj -> said"
"1796","0/1","An immigration judge has granted asylum to President Barack Obama 's aunt , allowing <a>XXXX</a> to stay in the United States and possibly become a citizen in about six years , her lawyers said Monday .","her","her","nsubj -> stay"
"1797","0/1","<a>XXXX</a> has granted asylum to President Barack Obama 's aunt , allowing her to stay in the United States and possibly become a citizen in about six years , her lawyers said Monday .","An immigration judge","judge","nsubj -> granted"
"1799","0/1","General Motors said Monday that it earned its first quarterly profit since 2007 after last year 's government-sponsored bankruptcy allowed <a>XXXX</a> to wipe away many of its longstanding obligations .","the carmaker","carmaker","nsubj -> wipe"
"1800","0/1","<a>XXXX</a> made his third try to fill the top job at the Transportation Security Administration , this time picking someone who might have an easier time passing the FBI background check -- the deputy director of the FBI .","President Barack Obama on Monday","Obama","nsubj -> made"
"1801","0/1","A fierce debate broke out in Israel on Monday amid finger pointing and hand wringing over the country 's refusal to permit the linguist Noam Chomsky , an icon of the American left , to enter <a>XXXX</a> from Jordan .","the occupied West Bank","Bank","dobj -> enter"
"1802","0/1","<a>XXXX</a> broke out in Israel on Monday amid finger pointing and hand wringing over the country 's refusal to permit the linguist Noam Chomsky , an icon of the American left , to enter the occupied West Bank from Jordan .","A fierce debate","debate","nsubj -> broke"
"1804","0/1","The Supreme Court on Monday ruled that <a>XXXX</a> may not be sentenced to life in prison without the possibility of parole .","juveniles who commit crimes in which no one is killed","juveniles","nsubjpass -> sentenced"
"1806","0/1","General Motors said Monday that it earned <a>XXXX</a> since 2007 after last year 's government-sponsored bankruptcy allowed the carmaker to wipe away many of its longstanding obligations .","its first quarterly profit","profit","dobj -> earned"
"1807","0/1","In a broad endorsement of federal power , the Supreme Court on Monday ruled that Congress has the authority under the Constitution to allow the continued civil commitment of sex offenders after <a>XXXX</a> have completed their criminal sentences .","they","they","nsubj -> completed"
"1808","0/1","A good way to end up on death row in Texas is to be accused of a capital crime and have <a>XXXX</a> represent you .","Jerry Guerinot","Guerinot","nsubj -> represent"
"1809","0/1","Perhaps the only thing slower than the economy in creating new jobs is the process by which the White House and <a>XXXX</a> are creating new jobs bills .","Congress","Congress","nsubj -> creating"
"1810","0/1","Perhaps the only thing slower than the economy in creating <a>XXXX</a> is the process by which the White House and Congress are creating new jobs bills .","new jobs","jobs","dobj -> creating"
"1811","0/1","On a day of wicked weather at the Tour of California , where roads were slick with rain and <a>XXXX</a> were whipping , the German rider Jens Voigt stayed atop his bike Monday and crossed the finish line of Stage 2 unscathed .","winds","winds","nsubj -> whipping"
"1812","0/1","<a>XXXX</a> must be willing to fight and operate far from its borders to defend its members in a new world of terrorism , piracy and cyberattacks , according to a proposed strategy for the alliance released Monday .","NATO","NATO","nsubj -> willing"
"1813","0/1","NATO must be willing to fight and operate far from its borders to defend <a>XXXX</a> in a new world of terrorism , piracy and cyberattacks , according to a proposed strategy for the alliance released Monday .","its members","members","dobj -> defend"
"1814","0/1","<a>XXXX</a> had been warned , but would not stop writing .","Mikhail Beketov","Beketov","nsubjpass -> warned"
"1815","0/1","All evidence , <a>XXXX</a> argued in his newspaper , of rampant corruption in this Moscow suburb .","he","he","nsubj -> argued"
"1816","0/1","The pain of the European debt crisis is spreading as the plummeting euro makes <a>XXXX</a> less competitive in Europe , their largest market , and complicates any move to break the Chinese currency 's peg to the dollar .","Chinese companies","companies","nsubj -> competitive"
"1817","0/1","The pain of the European debt crisis is spreading as <a>XXXX</a> makes Chinese companies less competitive in Europe , their largest market , and complicates any move to break the Chinese currency 's peg to the dollar .","the plummeting euro","euro","nsubj -> makes"
"1818","0/1","<a>XXXX</a> warned Monday that oil from the spill in the Gulf of Mexico was moving rapidly toward a current that could carry it into the Florida Keys and the Atlantic Ocean , threatening coral reefs and hundreds of miles of additional shoreline .","Scientists","Scientists","nsubj -> warned"
"1819","0/1","Prime Minister Vladimir Putin on Monday delivered an icy reproach to the management of the Raspadskaya coal mine in Siberiawhere around 90 miners and rescue workers were killed in twin methane explosions , expressing bafflement that <a>XXXX</a> had not been dismissed for safety violations .","its director","director","nsubjpass -> dismissed"
"1820","0/1","The United States , Europe and Russia responded with extreme skepticism to Iran 's announcement on Monday that it had reached an agreement to ship roughly half of its nuclear fuel to Turkey , saying <a>XXXX</a> would continue to press for new sanctions against Tehran .","they","they","nsubj -> press"
"1821","0/1","<a>XXXX</a> had been warned , but would not stop writing .","Mikhail Beketov","Beketov","nsubj -> stop"
"1822","0/1","All evidence , <a>XXXX</a> argued in his newspaper , of rampant corruption in this Moscow suburb .","he","he","nsubj -> argued"
"1823","0/1","Scientists warned Monday that oil from the spill in the Gulf of Mexico was moving rapidly toward a current that could carry <a>XXXX</a> into the Florida Keys and the Atlantic Ocean , threatening coral reefs and hundreds of miles of additional shoreline .","it","it","dobj -> carry"
"1824","0/1","Early in the playoffs , <a>XXXX</a> coalesced for the Boston Celtics .","everything","everything","nsubj -> coalesced"
"1826","0/1","The United States , Europe and Russia responded with extreme skepticism to Iran 's announcement on Monday that it had reached an agreement to ship roughly half of its nuclear fuel to Turkey , saying <a>XXXX</a> would continue to press for new sanctions against Tehran .","they","they","nsubj -> continue"
"1827","0/1","If <a>XXXX</a> looks a little preoccupied during the state dinner President Barack Obama has planned for him in Washington this week , it would not be hard to understand why .","President Felipe Calderon of Mexico","Calderon","nsubj -> looks"
"1828","0/1","<a>XXXX</a> opened its World Cup training camp here Monday with its goalkeeper and three of four potential defensive starters unavailable for full workouts .","The United States","States","nsubj -> opened"
"1829","0/1","As of now , coach Bob Bradley is treating <a>XXXX</a> rather than evident alarm .","the absences with mild concern","absences","dobj -> treating"
"1830","0/1","An antiquated Soviet commercial plane carrying <a>XXXX</a> disappeared in the fog-shrouded peaks north of the capital here on Monday , with no word on where it had crashed or whether anyone had survived .","43 people","people","dobj -> carrying"
"1832","0/1","That now stands to change as a result of an amendment adopted by the Senate on Monday as it moved closer toward completing <a>XXXX</a> .","a sweeping financial regulatory bill","bill","dobj -> completing"
"1833","0/1","In a broad endorsement of federal power , the Supreme Court on Monday ruled that Congress has the authority under the Constitution to allow the continued civil commitment of sex offenders after they have completed <a>XXXX</a> .","their criminal sentences","sentences","dobj -> completed"
"1834","0/1","Dressed in a black cap , T-shirt , shorts and running shoes , Simon Gagne sauntered through the Philadelphia Flyers ' practice facility Monday as <a>XXXX</a> made it through another off-day practice .","his teammates","teammates","nsubj -> made"
"1835","0/1","Maybe he will feel healthy enough to join <a>XXXX</a> someday .","them","them","dobj -> join"
"1836","0/1","The Supreme Court on Monday ruled that juveniles who commit crimes in which <a>XXXX</a> is killed may not be sentenced to life in prison without the possibility of parole .","no one","one","nsubjpass -> killed"
"1837","0/1","An appeals courts ruled Monday that no winning candidates would be barred from Iraq 's parliament for ties to the Baath Party , <a>XXXX</a> said , ending for now a bitter dispute that tarnished the election in March .","Iraqi officials","officials","nsubj -> said"
"1838","0/1","An immigration judge has granted asylum to President Barack Obama 's aunt , allowing <a>XXXX</a> to stay in the United States and possibly become a citizen in about six years , her lawyers said Monday .","her","her","dobj -> allowing"
"1839","0/1","Heathrow and Gatwick airports began reopening <a>XXXX</a> after a new cloud of ash from a volcano in Iceland prompted aviation authorities in Britain , Ireland and the Netherlands to close much of their airspace for several hours .","Monday","Monday","dobj -> reopening"
"1840","0/1","Nearly 30 years after Christian-rock pioneer Keith Green died in a plane crash , <a>XXXX</a> have teamed up to bring his story to the big screen in the hope of introducing a new generation to his music .","his widow and a Hollywood producer","widow","nsubj -> bring"
"1841","0/1","In a country still gripped by war , the families picnicking around the azure-domed shrine in the central square here are perhaps the clearest sign that <a>XXXX</a> has distinguished itself as one of the most secure places in the country .","this northern provincial city","city","nsubj -> distinguished"
"1842","0/1","An estimated 1 million people visited <a>XXXX</a> and in the weeks after without incident .","Mazar-i-Sharif for Afghan New Year celebrations in March","Mazar-i-Sharif","dobj -> visited"
"1843","0/1","In a country still gripped by war , the families picnicking around the azure-domed shrine in the central square here are perhaps the clearest sign that this northern provincial city has distinguished <a>XXXX</a> as one of the most secure places in the country .","itself","itself","dobj -> distinguished"
"1844","0/1","If President Felipe Calderon of Mexico looks a little preoccupied during the state dinner President Barack Obama has planned for him in Washington this week , <a>XXXX</a> would not be hard to understand why .","it","it","nsubj -> hard"
"1845","0/1","Meaghan Patrick , a junior at New College of Florida , a tiny liberal arts college in Sarasota , says discussing immigration with her older relatives is like `` hitting <a>XXXX</a> . ''","your head against a brick wall","head","dobj -> hitting"
"1846","0/1","Scientists warned Monday that <a>XXXX</a> was moving rapidly toward a current that could carry it into the Florida Keys and the Atlantic Ocean , threatening coral reefs and hundreds of miles of additional shoreline .","oil from the spill in the Gulf of Mexico","oil","nsubj -> moving"
"1847","0/1","Meaghan Patrick , a junior at New College of Florida , a tiny liberal arts college in Sarasota , says discussing <a>XXXX</a> with her older relatives is like `` hitting your head against a brick wall . ''","immigration","immigration","dobj -> discussing"
"1848","0/1","All the staff members of Central Falls High School , who were fired in February as part of a turnaround plan for the chronically underperforming school , will be able to keep <a>XXXX</a> under an agreement ratified Monday .","their jobs","jobs","dobj -> keep"
"1849","0/1","All the staff members of Central Falls High School , who were fired in February as part of a turnaround plan for the chronically underperforming school , will be able to keep <a>XXXX</a> under an agreement ratified Monday .","their jobs","jobs","dobj -> keep"
"1850","0/1","The United States , Europe and Russia responded with extreme skepticism to Iran 's announcement on Monday that it had reached an agreement to ship roughly half of its nuclear fuel to Turkey , saying <a>XXXX</a> would continue to press for new sanctions against Tehran .","they","they","nsubj -> continue"
"1851","0/1","<a>XXXX</a> responded with extreme skepticism to Iran 's announcement on Monday that it had reached an agreement to ship roughly half of its nuclear fuel to Turkey , saying they would continue to press for new sanctions against Tehran .","The United States , Europe and Russia","States","nsubj -> responded"
"1852","0/1","With <a>XXXX</a> sinking into last place and inching toward irrelevancy , Jeff Wilpon , the Mets ' chief operating officer , flew here Monday to hold a very public meeting , even if it was behind closed doors .","his team","team","nsubj -> inching"
"1853","0/1","There was one Broncos quarterback clearly acting <a>XXXX</a> during the first day of the team 's voluntary passing camp .","the part of the alpha dog","part","dobj -> acting"
"1854","0/1","The White House is dispatching two senior national security aides to Pakistan this week to press <a>XXXX</a> there to intensify efforts to investigate the failed Times Square bomb plot and prevent others like it , administration officials said Monday .","the government","government","dobj -> press"
"1856","0/1","President Barack Obama signed legislation on Monday intended to promote <a>XXXX</a> around the world , a bipartisan measure inspired by the murder in Pakistan of Daniel Pearl , the Wall Street Journal reporter , shortly after the attacks of Sept. 11 , 2001 .","a free press","press","dobj -> promote"
"1858","0/1","It is not uncommon for mayors of cities represented in major sporting events to make friendly wagers that might cost <a>XXXX</a> some pride .","the loser","loser","iobj -> cost"
"1860","0/1","<a>XXXX</a> steered into a U.S. convoy on Tuesday morning , killing 18 people , including five U.S. troops , and 12 civilians caught in rush hour traffic in the Afghan capital .","A man driving a Toyota minivan laden with explosives","man","nsubj -> steered"
"1861","0/1","A man driving <a>XXXX</a> steered into a U.S. convoy on Tuesday morning , killing 18 people , including five U.S. troops , and 12 civilians caught in rush hour traffic in the Afghan capital .","a Toyota minivan laden with explosives","minivan","dobj -> driving"
"1862","0/1","The Obama administration announced Tuesday morning that it has struck a deal with other major powers , including Russia and China , to impose new sanctions on Iran , a sharp repudiation of the deal <a>XXXX</a> offered just a day before to ship its nuclear fuel out of the country .","Tehran","Tehran","nsubj -> offered"
"1863","0/1","The Obama administration announced Tuesday morning that <a>XXXX</a> has struck a deal with other major powers , including Russia and China , to impose new sanctions on Iran , a sharp repudiation of the deal Tehran offered just a day before to ship its nuclear fuel out of the country .","it","it","nsubj -> struck"
"1864","0/1","This much of Kenneth Lin 's `` Intelligence-Slave '' is true : There was <a>XXXX</a> .","a Curt Herzstark","Herzstark","nsubj -> was"
"1865","0/1","<a>XXXX</a> sent him to a concentration camp , officially because of the part-Jewish Herzstark 's `` indecent contact '' with an Aryan woman .","The Nazis","Nazis","nsubj -> sent"
"1866","0/1","While their prisoner , he wound up running <a>XXXX</a> in a salt mine .","an armaments factory","factory","dobj -> running"
"1867","0/1","For such an innocuous word in most contexts `` folk '' is as disparaging <a>XXXX</a> as there is in popular music , due in no small part to its well-meaning but painfully earnest dalliance with protest music .","a tag","tag","dobj -> disparaging"
"1868","0/1","Like many other young songwriters whose songs are scratched out alone with a guitar , <a>XXXX</a> makes music that could fit under a broader definition of folk .","Sarah Jaffe","Jaffe","nsubj -> makes"
"1869","0/1","But the sharp internalized lyrics and somber , lush , sometimes eerie , sometimes thunderous instrumentation that wraps around her songs suggest it lacks <a>XXXX</a> .","any hippie roots","roots","dobj -> lacks"
"1870","0/1","Americans spend billions of dollars a year searching for the ultimate workout that will help them shed <a>XXXX</a> .","those unwanted pounds","pounds","dobj -> shed"
"1871","0/1","I do n't know about you , but I 'm not a big fan of these plans to put in <a>XXXX</a> at the Texas Capitol .","security checkpoints","checkpoints","dobj -> put"
"1872","0/1","Why take another swig of wine when you can have <a>XXXX</a> ?","a fluffy-on-the-inside , crunchy-on-the-outside , cinammon-and-sugar doughnut","doughnut","dobj -> have"
"1873","0/1","<a>XXXX</a> am a great defender of the wrongly accused , mentally ill , poor , elderly , disenfranchised , disabled and downtrodden .","I","I","nsubj -> defender"
"1874","0/1","Seven-year-old <a>XXXX</a> rushed home from school and proudly showed her daily report card to her mom .","Amy","Amy","nsubj -> rushed"
"1875","0/1","<a>XXXX</a> recorded three checkmarks on the note , each indicating something bad that Amy had done that day .","The teacher","teacher","nsubj -> recorded"
"1877","0/1","<a>XXXX</a> is a rift with its star player .","The last thing any team wants","thing","nsubj -> rift"
"1880","0/1","The Wikipedia entry for the man cleaning up after the Hawks ' sloppy postseason does not paint <a>XXXX</a> as one of the great sports executives of our time .","him","him","dobj -> paint"
"1881","0/1","Zach Thomas does n't know what researchers will find in his brain when <a>XXXX</a> comes for examination of it after his death , but he knows what they wo n't .","the time","time","nsubj -> comes"
"1882","0/1","After meeting <a>XXXX</a> , Sen. John Cornyn said Tuesday that lack of judicial experience should not disqualify a candidate from winning a seat on the high court .","U.S. Supreme Court nominee Elena Kagan","Kagan","dobj -> meeting"
"1883","0/1","Another member of Congress -- this one from Georgia -- wants to invalidate legislation just passed in Georgia that would allow <a>XXXX</a> to carry guns into Hartsfield-Jackson Atlanta International Airport .","passengers","passengers","dobj -> allow"
"1884","0/1","The tall , striking blonde filleted <a>XXXX</a> at my table with the precision of a surgeon and the care of a mother .","the fish","fish","dobj -> filleted"
"1886","0/1","The tall , striking blonde filleted <a>XXXX</a> at my table with the precision of a surgeon and the care of a mother .","the fish","fish","dobj -> filleted"
"1887","0/1","Zelka Lugonjic then sprinkled <a>XXXX</a> with olive oil from a label-less bottle , the sure-fire sign it was made in someone 's nearby backyard .","it","it","dobj -> sprinkled"
"1888","0/1","Tension over the new Arizona law aimed at immigrants threatens to overshadow <a>XXXX</a> Wednesday set to honor Mexican President Felipe Calderon and spotlight U.S.-Mexico cooperation in the war on drugs .","a state visit","visit","dobj -> overshadow"
"1889","0/1","After a spectacular rise last year , China 's stock market has plummeted on what analysts say are growing concerns about Europe 's debt crisis and expectations that Beijing is about to take <a>XXXX</a> to slow the nation 's booming economy and prevent it from overheating .","strong action","action","dobj -> take"
"1890","0/1","After a spectacular rise last year , China 's stock market has plummeted on what <a>XXXX</a> say are growing concerns about Europe 's debt crisis and expectations that Beijing is about to take strong action to slow the nation 's booming economy and prevent it from overheating .","analysts","analysts","nsubj -> say"
"1892","0/1","`` <a>XXXX</a> was embossed on the spine .","Gemaldegalerie Linz XIII ''","XIII","nsubjpass -> embossed"
"1894","0/1","On a recent Sunday afternoon , the Camden Yards complex , containing <a>XXXX</a> , was crowded .","Oriole Park and the Sports Legends Museum","Park","dobj -> containing"
"1895","0/1","So was the 1st Mariner Arena , where <a>XXXX</a> was performing .","the Ringling Bros. and Barnum & Bailey circus","Bros.","nsubj -> performing"
"1896","0/1","But a few blocks from the arena , on North Eutaw Street , <a>XXXX</a> were empty .","the sidewalks and most of the storefronts","sidewalks","nsubj -> empty"
"1898","0/1","So was the 1st Mariner Arena , where the Ringling Bros. and <a>XXXX</a> was performing .","Barnum & Bailey circus","Barnum","nsubj -> performing"
"1899","0/1","But a few blocks from the arena , on North Eutaw Street , <a>XXXX</a> were empty .","the sidewalks and most of the storefronts","sidewalks","nsubj -> empty"
"1901","0/1","Robert Edsel , <a>XXXX</a> , '' came to town the other day with a heavy album bound in green Moroccan leather .","author of `` The Monuments Men","author","appos -> Edsel"
"1902","0/1","`` <a>XXXX</a> was embossed on the spine .","Gemaldegalerie Linz XIII ''","XIII","nsubjpass -> embossed"
"1904","0/1","<a>XXXX</a> said Tuesday that Toyota Motor had paid a $ 16.4 million civil fine , the largest allowed , over a recall of sticking accelerator pedals on 2.3 million vehicles .","The Transportation Department","Department","nsubj -> said"
"1905","0/1","<a>XXXX</a> was praised by Hamas officials as an example of anti-Zionist resistance when he managed to build a house here last year despite an Israeli blockade that barred the import of any building materials .","Nidal Eid","Eid","nsubjpass -> praised"
"1906","0/1","But earlier this week , <a>XXXX</a> was the first to be demolished by the Hamas government , which said it had been illegally built on public land .","his house","house","nsubjpass -> demolished"
"1907","0/1","Nidal Eid was praised by Hamas officials as an example of anti-Zionist resistance when <a>XXXX</a> managed to build a house here last year despite an Israeli blockade that barred the import of any building materials .","he","he","nsubj -> build"
"1908","0/1","But earlier this week , his house was the first to be demolished by the Hamas government , which said <a>XXXX</a> had been illegally built on public land .","it","it","nsubjpass -> built"
"1909","0/1","South Korea has concluded that a North Korean torpedo sank one of its warships in March , killing <a>XXXX</a> , according to government officials and domestic news reports on Tuesday .","46 sailors","sailors","dobj -> killing"
"1910","0/1","South Korean officials are preparing to announce <a>XXXX</a> later this week .","the results of their investigation","results","dobj -> announce"
"1911","0/1","Interior Secretary Ken Salazar conceded during congressional testimony Tuesday that <a>XXXX</a> was too weak to prevent the massive gulf oil spill and that agencies under his watch were partly at fault for the unfolding environmental disaster .","federal regulation of offshore drilling","regulation","nsubj -> prevent"
"1912","0/1","<a>XXXX</a> has concluded that a North Korean torpedo sank one of its warships in March , killing 46 sailors , according to government officials and domestic news reports on Tuesday .","South Korea","Korea","nsubj -> concluded"
"1913","0/1","South Korean officials are preparing to announce <a>XXXX</a> later this week .","the results of their investigation","results","dobj -> announce"
"1914","0/1","Salt Lake City-based Questar is spinning off its natural gas and <a>XXXX</a> and production operation as a separate , publicly traded company that will be headquartered in Denver .","oil exploration","exploration","dobj -> spinning"
"1915","0/1","The National Oceanic and Atmospheric Administration greatly expanded the fishing ban in the Gulf of Mexico on Tuesday in response to spreading <a>XXXX</a> from the BP well blowout .","oil","oil","dobj -> spreading"
"1916","0/1","<a>XXXX</a> now covers 19 percent of the gulf , up from roughly 8 percent .","The prohibited area","area","nsubj -> covers"
"1917","0/1","<a>XXXX</a> is nesting season here and just offshore , Kemp 's ridley sea turtle No. 15 circles in the water before dragging herself onto the sand to lay another clutch of eggs .","It","It","nsubj -> season"
"1918","0/1","<a>XXXX</a> rippling across Europe is pinching corporate credit , especially for midsize and smaller companies and for those based in countries perceived as riskier , like Portugal , Spain and others on the periphery .","The Greek debt crisis","crisis","nsubj -> rippling"
"1919","0/1","The Greek debt crisis rippling across Europe is pinching <a>XXXX</a> , especially for midsize and smaller companies and for those based in countries perceived as riskier , like Portugal , Spain and others on the periphery .","corporate credit","credit","dobj -> pinching"
"1920","0/1","Shortly before the end of the regular season , <a>XXXX</a> canceled a baseball practice , giving shortstop Shane Opitz a day off .","Heritage High School in Littleton","School","nsubj -> canceled"
"1921","0/1","The Securities and Exchange Commission said Tuesday that it would temporarily institute <a>XXXX</a> on all the stocks in the Standard & Poor 's 500-stock index after the huge market gyrations on May 6 .","circuit breakers","breakers","dobj -> institute"
"1922","0/1","<a>XXXX</a> said Tuesday that it would temporarily institute circuit breakers on all the stocks in the Standard & Poor 's 500-stock index after the huge market gyrations on May 6 .","The Securities and Exchange Commission","Commission","nsubj -> said"
"1923","0/1","Rep. Mark Souder , a conservative Republican from Indiana , on Tuesday acknowledged carrying on an affair with a staff member and said <a>XXXX</a> would resign his seat in Congress as of Friday .","he","he","nsubj -> resign"
"1925","0/1","The Taliban struck here at the heart of the Afghan capital Tuesday , with a suicide bomber steering his explosive-laden Toyota minibus into an American convoy as <a>XXXX</a> moved through the thick of rush-hour traffic .","it","it","nsubj -> moved"
"1927","0/1","Rand Paul , <a>XXXX</a> , won the Republican Senate primary in Kentucky on Tuesday , overcoming a forceful resistance from the Republican Party leadership and giving new voice to anti-government sentiment .","the most visible symbol of the Tea Party movement","symbol","appos -> Paul"
